candidate_id,candidate_ddd_mobile,candidate_pcd,candidate_certifications,candidate_academic_level,candidate_english_level,candidate_spanish_level
10518,19,,0,,,
10519,19,,0,,,
1052,11,,0,,,
10520,35,,0,,,
10521,11,,0,,,
10522,19,,0,,,
10523,19,,0,,,
10524,11,,0,,,
10525,19,,0,,,
10526,19,,0,,,
10527,11,,0,,,
10528,19,,0,,,
10529,19,,0,,,
1053,11,,0,,,
10530,11,,0,,,
10531,11,,0,,,
10532,11,,0,,,
10533,11,,0,,,
10534,11,,0,,,
10535,11,,0,,,
10536,,,0,,,
10537,11,,0,,,
10538,11,,0,,,
10539,11,,0,,,
1054,11,,0,,,
10540,11,,0,Ensino Superior Completo,,
10541,11,,0,Pós Graduação Completo,,
10542,11,,0,Pós Graduação Completo,,
10543,11,,0,Pós Graduação Completo,,
10544,11,,0,Ensino Superior Completo,,
10545,11,,0,Pós Graduação Completo,,
10546,11,,0,Ensino Superior Completo,,
10547,55,,0,Pós Graduação Completo,,
10548,31,,0,Pós Graduação Completo,,
10549,31,,0,Ensino Superior Completo,,
1055,11,,0,,,
10550,31,,0,Ensino Superior Completo,,
10551,11,,0,Ensino Superior Completo,,
10552,11,,0,Ensino Superior Completo,,
10553,27,,0,Pós Graduação Completo,,
10554,21,,0,Ensino Superior Completo,,
10555,11,,0,Pós Graduação Completo,,
10556,11,,0,Ensino Superior Completo,,
10557,11,,0,,,
10558,11,,0,,,
10559,38,,0,Ensino Superior Completo,,
1056,21,,0,,,
10560,22,,0,Ensino Superior Completo,,
10561,11,,0,Ensino Superior Completo,,
10562,11,,0,Pós Graduação Completo,,
10563,19,,0,,,
10564,19,,0,,,
10565,11,,0,,,
10566,11,,0,Ensino Superior Completo,,
10567,11,,0,Pós Graduação Completo,,
10568,11,,0,Ensino Superior Completo,,
10569,11,,0,,,
1057,11,,0,Pós Graduação Cursando,Intermediário,
10570,11,,0,Ensino Superior Completo,,
10571,11,,0,Ensino Superior Completo,,
10572,11,,0,Ensino Superior Completo,,
10573,11,,0,Ensino Superior Completo,,
10574,11,,0,,,
10575,11,,0,Ensino Superior Completo,,
10576,11,,0,Ensino Superior Completo,,
10577,11,,0,Pós Graduação Completo,,
10578,11,,0,Pós Graduação Completo,,
10579,11,,0,Pós Graduação Completo,,
1058,14,,0,,,
10580,51,,0,Ensino Superior Completo,,
10581,11,,0,Pós Graduação Completo,,
10582,11,,0,Pós Graduação Completo,,
10583,93,,0,,,
10584,11,,0,Ensino Superior Completo,,
10585,11,,0,Ensino Superior Completo,,
10586,21,,0,Ensino Superior Completo,,
10587,11,,0,Pós Graduação Completo,,
10588,11,,0,Ensino Superior Completo,,
10589,11,,0,Ensino Superior Completo,,
1059,21,,0,,,
10590,11,,0,Ensino Superior Completo,,
10591,41,,0,Ensino Superior Completo,,
10592,31,,0,Mestrado Completo,,
10593,11,,0,Ensino Superior Completo,,
10594,11,,0,Ensino Superior Completo,,
10595,11,,0,Ensino Superior Completo,,
10596,11,,0,Pós Graduação Completo,,
10597,11,,0,Ensino Superior Completo,,
10598,49,,0,Ensino Superior Completo,,
10599,11,,0,Ensino Superior Completo,,
106,31,,0,Ensino Superior Completo,,
1060,11,,0,,,
10600,11,,0,Ensino Superior Completo,,
10601,11,,0,Pós Graduação Completo,,
10602,11,,0,Ensino Superior Completo,,
10603,11,,0,Ensino Superior Completo,,
10604,11,,0,Ensino Superior Completo,,
10605,41,,0,Ensino Superior Completo,,
10606,11,,0,Ensino Superior Completo,,
10607,98,,0,Ensino Superior Completo,,
10608,43,,0,Ensino Superior Completo,,
10609,43,,0,Ensino Superior Completo,,
1061,91,,0,,,
10610,11,,0,Ensino Superior Completo,,
10611,11,,0,Ensino Superior Completo,,
10612,19,,0,Ensino Superior Completo,,
10613,11,,0,,,
10614,11,,0,Ensino Superior Completo,,
10615,21,,0,Pós Graduação Completo,,
10616,11,,0,Ensino Superior Completo,,
10617,21,,0,Ensino Superior Completo,,
10618,11,,0,Pós Graduação Completo,,
10619,12,,0,Ensino Superior Completo,,
1062,11,,0,,,
10620,11,,0,Ensino Superior Completo,,
10621,11,,0,Ensino Superior Completo,,
10622,11,,0,Ensino Superior Completo,,
10623,11,,0,,,
10624,11,,0,,,
10625,11,,0,Pós Graduação Completo,,
10626,11,,0,,,
10627,11,,0,,,
10628,11,,0,,,
10629,11,,0,Pós Graduação Completo,,
1063,11,,0,,,
10630,11,,0,,,
10631,11,,0,,,
10632,11,,0,,,
10633,16,,0,,,
10634,19,,0,,,
10635,16,,0,,,
10636,11,,0,,,
10637,,,0,Ensino Superior Completo,,
10638,11,,0,,,
10639,11,,0,,,
1064,19,,0,,,
10640,11,,0,,,
10641,19,,0,,,
10642,11,,0,,,
10643,19,,0,,,
10644,11,,0,,,
10645,11,,0,,,
10646,11,,0,,,
10647,11,,0,,,
10648,11,,0,,,
10649,19,,0,,,
1065,11,,0,,,
10650,11,,0,,,
10651,11,,0,,,
10652,11,,0,,,
10653,11,,0,,,
10654,11,,0,,,
10655,01,,0,,,
10656,01,,0,,,
10657,11,,0,,,
10658,11,,0,,,
10659,11,,0,,,
1066,11,,0,,,
10660,11,,0,,,
10661,11,,0,,,
10662,11,,0,,,
10663,16,,0,,,
10664,11,,0,,,
10665,11,,0,,,
10666,11,,0,,,
10667,11,,0,,,
10668,11,,0,,,
10669,19,,0,,,
1067,11,,0,,,
10670,11,,0,,,
10671,11,,0,,,
10672,11,,0,,,
10673,11,,0,,,
10674,11,,0,,,
10675,11,,0,,,
10676,19,,0,,,
10677,19,,0,,,
10678,19,,0,,,
10679,19,,0,,,
1068,11,,0,,,
10680,19,,0,,,
10681,11,,0,,,
10682,01,,0,,,
10683,19,,0,,,
10684,11,,0,,,
10685,19,,0,,,
10686,98,,0,,,
10687,41,,0,,,
10688,91,,0,,,
10689,98,,0,,,
1069,11,,0,,,
10690,19,,0,,,
10691,19,,0,,,
10692,11,,0,,,
10693,19,,0,,,
10694,11,,0,,,
10695,11,,0,,,
10696,19,,0,,,
10697,01,,0,,,
10698,11,,0,,,
10699,19,,0,,,
107,11,,0,Ensino Superior Completo,,
1070,11,,0,,,
10700,19,,0,,,
10701,19,,0,,,
10702,19,,0,,,
10703,31,,0,,,
10704,11,,0,,,
10705,98,,0,,,
10706,01,,0,,,
10707,19,,0,,,
10708,11,,0,,,
10709,31,,0,,,
1071,11,,0,,,
10710,19,,0,,,
10711,19,,0,,,
10712,19,,0,,,
10713,13,,0,Pós Graduação Completo,,
10714,02,,0,,,
10715,02,,0,,,
10716,19,,0,,,
10717,19,,0,,,
10718,11,,0,,,
10719,15,,0,,,
1072,11,,0,,,
10720,11,,0,,,
10721,11,,0,,,
10722,99,,0,,,
10723,11,,0,,,
10724,11,,0,Ensino Superior Completo,,
10725,11,,0,,,
10726,19,,0,,,
10727,11,,0,,,
10728,13,,0,,,
10729,31,,0,,,
1073,91,,0,,,
10730,31,,0,,,
10731,31,,0,,,
10732,31,,0,,,
10733,19,,0,,,
10734,19,,0,,,
10735,19,,0,,,
10736,19,,0,,,
10737,11,,0,,,
10738,19,,0,,,
10739,19,,0,,,
1074,11,,0,,,
10740,11,,0,,,
10741,31,,0,,,
10742,11,,0,,,
10743,11,,0,,,
10744,11,,0,,,
10745,21,,0,,,
10746,11,,0,,,
10747,96,,0,,,
10748,19,,0,,,
10749,13,,0,,,
1075,13,,0,,,
10750,11,,0,,,
10751,19,,0,,,
10752,19,,0,,,
10753,19,,0,,,
10754,19,,0,,,
10755,19,,0,,,
10756,19,,0,,,
10757,19,,0,,,
10758,01,,0,,,
10759,11,,0,,,
1076,21,,0,,,
10760,19,,0,,,
10761,11,,0,,,
10762,11,,0,,,
10763,83,,0,,,
10764,11,,0,,,
10765,52,,0,,,
10766,16,,0,,,
10767,11,,0,,,
10768,11,,0,,,
10769,19,,0,,,
1077,11,,0,,,
10770,11,,0,,,
10771,11,,0,,,
10772,11,,0,,,
10773,11,,0,,,
10774,19,,0,,,
10775,21,,0,,,
10776,31,,0,,,
10777,32,,0,,,
10778,27,,0,,,
10779,55,,0,,,
1078,21,,0,,,
10780,12,,0,,,
10781,21,,0,,,
10782,11,,0,,,
10783,11,,0,,,
10784,11,,0,,,
10785,19,,0,,,
10786,11,,0,,,
10787,19,,0,,,
10788,21,,0,,,
10789,11,,0,,,
1079,44,,0,,,
10790,51,,0,,,
10791,13,,0,,,
10792,21,,0,,,
10793,11,,0,,,
10794,11,,0,,,
10795,11,,0,,,
10796,21,,0,,,
10797,11,,0,,,
10798,91,,0,,,
10799,11,,0,,,
108,11,,0,Ensino Superior Completo,,
1080,81,,0,,,
10800,11,,0,,,
10801,11,,0,,,
10802,11,,0,,,
10803,11,,0,,,
10804,11,,0,,,
10805,98,,0,,,
10806,21,,0,,,
10807,11,,0,,,
10808,11,,0,,,
10809,11,,0,,,
1081,31,,0,,,
10810,11,,0,,,
10811,21,,0,,,
10812,11,,0,,,
10813,11,,0,,,
10814,11,,0,,,
10815,11,,0,,,
10816,11,,0,,,
10817,96,,0,,,
10818,11,,0,,,
10819,,,0,,,
1082,16,,0,,,
10820,,,0,,,
10821,,,0,,,
10822,,,0,,,
10823,,,0,,,
10824,,,0,,,
10825,,,0,,,
10826,,,0,,,
10827,,,0,,,
10828,,,0,,,
10829,,,0,,,
1083,11,,0,,,
10830,,,0,,,
10831,,,0,,,
10832,,,0,,,
10833,,,0,,,
10834,,,0,,,
10835,,,0,,,
10836,,,0,,,
10837,,,0,,,
10838,,,0,,,
10839,,,0,,,
1084,11,,0,,,
10840,,,0,,,
10841,,,0,,,
10842,,,0,,,
10843,,,0,,,
10844,,,0,,,
10845,,,0,,,
10846,,,0,,,
10847,,,0,,,
10848,,,0,,,
10849,,,0,,,
1085,13,,0,,,
10850,,,0,,,
10851,19,,0,Pós Graduação Completo,Avançado,Fluente
10852,,,0,,,
10853,,,0,,,
10854,,,0,,,
10855,,,0,,,
10856,,,0,,,
10857,,,0,,,
10858,,,0,,,
10859,,,0,,,
1086,11,,0,,,
10860,,,0,,,
10861,,,0,,,
10862,,,0,,,
10863,,,0,,,
10864,,,0,,,
10865,,,0,,,
10866,,,0,,,
10867,,,0,,,
10868,11,,0,,,
10869,11,,0,,,
1087,59,,0,,,
10870,,,0,,,
10871,,,0,,,
10872,,,0,,,
10873,11,,0,,,
10874,,,0,,,
10875,,,0,,,
10876,,,0,,,
10877,,,0,,,
10878,,,0,,,
10879,11,,0,,,
1088,11,,0,,,
10880,,,0,,,
10881,,,0,,,
10882,11,,0,,,
10883,,,0,,,
10884,,,0,,,
10885,,,0,,,
10886,,,0,,,
10887,,,0,,,
10888,,,0,,,
10889,,,0,,,
1089,11,,0,,,
10890,,,0,,,
10891,,,0,,,
10892,,,0,,,
10893,,,0,,,
10894,,,0,,,
10895,,,0,,,
10896,,,0,,,
10897,,,0,,,
10898,,,0,,,
10899,,,0,,,
109,11,,0,Ensino Superior Completo,,
1090,11,,0,,,
10900,,,0,,,
10901,,,0,,,
10902,,,0,,,
10903,,,0,,,
10904,11,Não,0,Ensino Superior Completo,Avançado,Nenhum
10905,,,0,,,
10906,,,0,,,
10907,,,0,,,
10908,,,0,,,
10909,,,0,,,
1091,11,,0,,,
10910,,,0,,,
10911,,,0,,,
10912,,,0,,,
10913,,,0,,,
10914,,,0,,,
10915,,,0,,,
10916,,,0,,,
10917,62,,0,,,
10918,,,0,,,
10919,,,0,,,
1092,19,,0,,,
10920,,,0,,,
10921,,,0,,,
10922,,,0,,,
10923,,,0,,,
10924,,,0,,,
10925,,,0,,,
10926,,,0,,,
10927,,,0,,,
10928,,,0,,,
10929,,,0,,,
1093,11,,0,,,
10930,,,0,,,
10931,,,0,,,
10932,,,0,,,
10933,,,0,,,
10934,,,0,,,
10935,,,0,,,
10936,,,0,,,
10937,,,0,,,
10938,11,,0,,,
10939,,,0,,,
1094,11,,0,,,
10940,,,0,,,
10941,,,0,,,
10942,11,,0,,,
10943,,,0,,,
10944,,,0,,,
10945,,,0,,,
10946,,,0,,,
10947,,,0,,,
10948,,,0,,,
10949,,,0,,,
1095,11,,0,,,
10950,,,0,,,
10951,,,0,,,
10952,21,,0,,,
10953,02,,0,,,
10954,,,0,,,
10955,,,0,,,
10956,,,0,,,
10957,,,0,,,
10958,,,0,,,
10959,,,0,,,
1096,11,,0,,,
10960,,,0,,,
10961,,,0,,,
10962,,,0,,,
10963,,,0,,,
10964,,,0,,,
10965,19,,0,,,
10966,,,0,,,
10967,,,0,,,
10968,,,0,,,
10969,,,0,,,
1097,11,,0,,,
10970,,,0,,,
10971,19,,0,,,
10972,,,0,,,
10973,,,0,,,
10974,,,0,,,
10975,,,0,,,
10976,,,0,,,
10977,,,0,,,
10978,,,0,,,
10979,11,,0,,,
1098,11,,0,,,
10980,,,0,,,
10981,,,0,,,
10982,,,0,,,
10983,21,Não,0,,,
10984,,,0,,,
10985,,,0,,,
10986,11,Não,1,Pós Graduação Completo,Avançado,Avançado
10987,,,0,,,
10988,,,0,,,
10989,,,0,,,
1099,21,,0,,,
10990,,,0,,,
10991,,,0,,,
10992,,,0,,,
10993,,,0,,,
10994,,,0,,,
10995,,,0,,,
10996,,,0,,,
10997,,,0,,,
10998,,,0,,,
10999,,,0,,,
11,11,Não,0,Ensino Superior Completo,Básico,Nenhum
110,11,,0,Ensino Superior Completo,,
1100,01,,0,,,
11000,,,0,,,
11001,,,0,,,
11002,,,0,,,
11003,,,0,,,
11004,,,0,,,
11005,,,0,,,
11006,,,0,,,
11007,11,,0,,,
11008,,,0,,,
11009,,,0,,,
1101,86,,0,,,
11010,19,,1,,,
11011,,,0,,,
11012,,,0,,,
11013,,,0,,,
11014,,,0,,,
11015,,,0,,,
11016,,,0,,,
11017,,,0,,,
11018,,,0,,,
11019,,,0,,,
1102,11,,0,,,
11020,,,0,,,
11021,,,0,,,
11022,,,0,,,
11023,,,0,,,
11024,,,0,,,
11025,,,0,,,
11026,,,0,,,
11027,,,0,,,
11028,,,0,,,
11029,,,0,,,
1103,81,,0,,,
11030,,,0,,,
11031,,,0,,,
11032,,,0,,,
11033,,,0,,,
11034,,,0,,,
11035,11,,0,,,
11036,,,0,,,
11037,,,0,,,
11038,,,0,,,
11039,,,0,,,
1104,11,,0,,,
11040,,,0,,,
11041,,,0,,,
11042,,,0,,,
11043,,,0,,,
11044,,,0,,,
11045,,,0,,,
11046,11,,0,,,
